"DateTime","BTC","ETH","Stablecoins","Otros"
"2020-12-20 18:00:00",433927056339.38354,72441157128.61798,29391766652.86,126496566113.22849
"2020-12-27 18:00:00",487258425258.87036,78016259865.90031,30230121804.78,108680879485.05933
"2021-01-03 18:00:00",611103883061.6024,112493433179.8004,32900565272.61,120092041378.1072
"2021-01-10 18:00:00",708195321595.2714,142632073651.42316,37325733497.47,159552723169.2755
"2021-01-17 18:00:00",667028668819.6982,141283103998.30472,37357700408.41,161382405699.75708
"2021-01-24 18:00:00",601651669364.067,159139478909.2523,38301007567.33,164797437303.63065
"2021-01-31 18:00:00",613312434887.7683,149156035510.43408,40846383815.17,186961032893.3576
"2021-02-07 18:00:00",722518516768.899,183497935265.73868,44880747797.83,233672545979.32233
"2021-02-14 18:00:00",907623519352.765,206928063460.64047,51894605052.68,323087103814.9145
"2021-02-21 18:00:00",1072121083578.4685,221808321709.55615,56254449174.41,393927866478.18536
"2021-02-28 18:00:00",843800279724.5995,163489570919.6023,56866992812.83,316532188238.1082
"2021-03-07 18:00:00",955342689135.7744,199972340504.46082,60294808405.7,369586734645.74475
"2021-03-14 18:00:00",1100069293585.0618,212242684423.98007,64315982795.36,413164495694.73816
"2021-03-21 18:00:00",1071526929279.6742,205702383099.6546,68236515743.24,436181499407.1712
"2021-03-28 18:00:00",1044604471378.814,194895798816.50833,70538853352.67,448071595182.4877
"2021-04-04 18:00:00",1098874556066.7537,241846812908.4592,74284236728.31,533996972855.12714
"2021-04-11 18:00:00",1128437856221.562,249637481541.4554,77984752415.23,616601784748.4226
"2021-04-18 18:00:00",1046814448218.0908,257526324612.25177,82414165704.35,662749404270.2573
"2021-04-25 18:00:00",915066200404.24,267279574504.038,84949938591.75,557461911147.6221
"2021-05-02 18:00:00",1058309059403.1952,341740827528.027,92442784505.67,721274297637.6078
"2021-05-09 18:00:00",1090209426707.6116,453427650572.1741,99287674368.24,813593415256.5044
"2021-05-16 18:00:00",867104686926.2623,412876797052.19794,103311030212.34,785875565281.7897
"2021-05-23 18:00:00",660305590363.3535,248898637925.34723,95356092173.56,413934949738.7892
"2021-05-30 18:00:00",664797433647.3008,276056372661.85046,105835186387.53,497036897687.47876
"2021-06-06 18:00:00",671105857297.8038,316220075240.0506,108893281456.8,540713348400.1955
"2021-06-13 18:00:00",733089662951.4908,292848691046.0214,107334366478.94,496377976063.48773
"2021-06-20 18:00:00",668773312881.0383,262694218907.70456,107462522927.08,453237253681.3671
"2021-06-27 18:00:00",651673221700.1504,231335391482.25113,109575706090.53,389029533844.8985
"2021-07-04 18:00:00",654875820839.3735,269388313131.7947,110193066740.83,432482683575.6318
"2021-07-11 18:00:00",643078456006.2635,249509446458.9995,110786140190.24,410463535192.1769
"2021-07-18 18:00:00",595491097121.512,220895871216.204,111406888940.77,366238386754.3341
"2021-07-25 18:00:00",662221981750.3365,254401069485.77264,112361125555.52,397260590217.8008
"2021-08-01 18:00:00",749883353306.2881,299756464022.1304,113368236002.37,442283677231.88153
"2021-08-08 18:00:00",825186129786.353,354795020195.20654,114193953561.45,480326246435.6204
"2021-08-15 18:00:00",884837176466.84,387869517712.0897,115508385789.47,630070246210.6903
"2021-08-22 18:00:00",927513388249.6575,381066593721.4146,117200272518.02,677473816615.1279
"2021-08-29 18:00:00",915929550642.2723,377599191825.14685,118333475111.2,686392641441.5308
"2021-09-05 18:00:00",973484406148.8275,463592074560.2628,121006546155.96,785314025342.7797
"2021-09-12 18:00:00",867594345441.25,400419526377.8516,123916799877.7,729669604074.2084
"2021-09-19 18:00:00",888738841804.4756,391936421516.8017,124631207425.02,696840346605.9127
"2021-09-26 18:00:00",813105834426.6675,360122132701.9655,127124088619.29,616670647732.227
"2021-10-03 18:00:00",906294464847.2214,402169257671.45935,127350948702.95,708519890532.0492
"2021-10-10 18:00:00",1027165303573.2286,399096843502.0152,128787685433.61,708906659822.3162
"2021-10-17 18:00:00",1161960269770.6792,454731511821.44385,128765343507.47,736675590254.687
"2021-10-24 18:00:00",1146356275069.934,481996801951.6344,128827961256.73,761741892649.5916
"2021-10-31 18:00:00",1155486888639.8538,506301266738.95795,130780843071.29,830901716678.2782
"2021-11-07 18:00:00",1198357285045.2302,547703002358.85565,134534706605.1,918242950996.964
"2021-11-14 18:00:00",1242518615761.8267,549378527797.9616,136966226523.64,927539073269.7719
"2021-11-21 18:00:00",1106403638081.7468,503443152584.74207,140577090091.22,871281976004.1912
"2021-11-28 18:00:00",1085455859458.4082,511339889571.73346,143100202677.43,831062750985.2684
"2021-12-05 18:00:00",931832468398.9512,497058145474.72144,148752037116.38,713416760515.2274
"2021-12-12 18:00:00",948164976218.7858,491522101088.7097,151270583164.7,716698296980.4745
"2021-12-19 18:00:00",880597810565.5748,464871981154.2282,155373925578.01,684435434182.657
"2021-12-26 18:00:00",961618538425.7545,483971940367.0353,158728840840.32,786992809417.6301
"2022-01-02 18:00:00",894534242962.1992,454922393837.005,159128045745.77,747378621313.9658
"2022-01-09 18:00:00",793912931913.978,376058618509.2793,159691405798.51,639637802627.7826
"2022-01-16 18:00:00",816823509359.9104,399702839311.05774,162762339681.97,699251392353.3419
"2022-01-23 18:00:00",684859808413.9618,301900254604.82874,164800774655.74,520589919692.3994
"2022-01-30 18:00:00",718419130119.413,310864527453.5375,168090463108.13,518152712553.0096
"2022-02-06 18:00:00",802582761592.1385,364698158500.46277,170962098568.09,595803794837.8486
"2022-02-13 18:00:00",798183518205.3665,343973367011.7393,174477231144.8,561725440935.5342
"2022-02-20 18:00:00",727064681314.4646,313522162735.1475,176200091631.25,519075849966.0178
"2022-02-27 18:00:00",713942457631.762,312964791237.57544,177793345947.65,505014223964.77264
"2022-03-06 18:00:00",729682856546.4937,306210964872.15607,178175184494.84,509552755850.21027
"2022-03-13 18:00:00",717657415992.5707,301732657941.2753,179414386226.16,497497456714.144
"2022-03-20 18:00:00",783485258829.0177,343414801853.2332,181508257712.58,550080734142.4691
"2022-03-27 18:00:00",889508454854.3387,395651853111.59174,181339985663.53,636974189669.3094
"2022-04-03 18:00:00",880592388752.0895,422389199159.7475,182579126116.34,681086939463.8931
"2022-04-10 18:00:00",801731529722.2588,385781388027.20935,182299341442.26,587844254285.5319
"2022-04-17 18:00:00",753869163876.823,359660916285.4901,181313919096.45,551386972589.7969
"2022-04-24 18:00:00",751110381943.8457,352491454713.9942,182367698684.22,542362184566.5502
"2022-05-01 18:00:00",732413322821.8514,340953482723.0272,181957744201.58,481364943959.6813
"2022-05-08 18:00:00",647931569108.8398,304192304924.89215,180025542690.79,433115177529.318
"2022-05-15 18:00:00",594200127312.8341,258342859456.67972,157378709865.39,330805658106.8662
"2022-05-22 18:00:00",576254007847.4742,246528793392.1845,156653120184.45,315062318655.4512
"2022-05-29 18:00:00",560937222142.5856,219113038853.63303,155847935714.22,288407432761.83136
"2022-06-05 18:00:00",569759085904.0133,218518232283.12567,156419394777.38,289392788770.631
"2022-06-12 18:00:00",508019958965.2783,174511401006.70413,156025962168.11,242776041586.80753
"2022-06-19 18:00:00",392646879629.1441,137002970321.63213,152579705252.97,219169795972.71375
"2022-06-26 18:00:00",401104221882.97327,145548449111.28665,151695600734.54,243367426686.1001
"2022-07-03 18:00:00",368277180410.4809,130358232424.56328,151669728426.68,223353845999.0458
"2022-07-10 18:00:00",398159374285.3559,141922226962.44693,151040296512.37,236797707141.00714
"2022-07-17 18:00:00",396857346488.9222,162783844724.77362,150386457506.86,243498798267.01422
"2022-07-24 18:00:00",431850498580.6955,194591329573.5659,150786584188.96,263028784847.8286
"2022-07-31 18:00:00",445937681388.2668,204762984518.39145,150730259994.09,281034089524.9917
"2022-08-07 18:00:00",443084471061.08685,207145372307.71268,151003403121.21,296142468594.3005
